Altura (m),Comprimento médio passo completo,Erro absoluto médio do comprimento de passo em metros,Desvio padrão comprimento passo medido em metros,Desvio padrão do erro de comprimento de passo em metros,Comprimento médio de meio passo em metros,Erro absoluto médio do meio comprimento de passo em metros,Desvio padrão do comprimento médio de meio passo em metros,Desvio padrão do erro de comprimento de meio passo em metros,Comprimento do Swing em metros,Erro absoluto médio do swing em metros,Desvio padrão do swing em metros,Desvio padrão do erro de swing em metros,Comprimento do Stance em metros,Erro absoluto médio do stance em metros,Desvio padrão do stance em metros,Desvio padrão do erro de stance em metros,Distância inicial do pé em metros,Erro absoluto médio da distância entre os pés em metros,Desvio padrão da distância inicial entre os pés,Desvio padrão do erro da distância inicial entre os pés em metros,Ângulo real de abertura das pernas em graus,Ângulo médio de abertura das pernas em graus,Erro absoluto médio do angulo entre as pernas em graus,Desvio padrão do ângulo médio dos passos em graus,Número de amostras do ângulo,Deficiência
1.7690,1.0644,0.1356,0.2450, 0.21,0.5347,0.0653,0.1400,0.1254, 0.5281,0.0719,0.1486,0.1205,0.5422,0.0578,0.1292 ,0.1260,0.1600,0.0150, 0.0075,0.0075,33.8671,27.1121,6.7549,6.5828,15,0
1.7463,1.0707,0.0007,0.3917, 0.20,0.5353,0.0003,0.2008,0.1102, 0.5401,0.0001,0.2064,0.1170,0.5305,0.0005,0.1949 ,0.1026,0.1941,0.0191, 0.0096,0.0096,29.8176,26.8024,3.0153,9.3831,8,0
1.7394,0.9800,0.0200,0.2718, 0.18,0.4900,0.0100,0.1423,0.0978, 0.5100,0.0100,0.1554,0.1000,0.4700,0.0300,0.1247 ,0.0929,0.1414,0.0336, 0.0168,0.0168,28.0941,25.1114,2.9827,6.5802,18,0
1.7448,0.9973,0.2027,0.3144, 0.28,0.4996,0.1004,0.1671,0.1472, 0.5232,0.0768,0.1573,0.1414,0.4737,0.1263,0.1737 ,0.1488,0.1572,0.0178, 0.0089,0.0089,33.8671,25.4250,8.4420,7.9330,21,0
1.7532,0.9237,0.2763,0.3203, 0.32,0.4500,0.1500,0.1710,0.1693, 0.4580,0.1420,0.1696,0.1676,0.4412,0.1588,0.1721 ,0.1707,0.1731,0.0019, 0.0009,0.0009,33.8671,23.1380,10.7291,8.2333,23,0
1.7237,0.8789,0.1211,0.1916, 0.13,0.4394,0.0606,0.1054,0.0781, 0.4240,0.0760,0.1317,0.0922,0.4549,0.0451,0.0665 ,0.0466,0.1758,0.0008, 0.0004,0.0004,28.0941,22.9306,5.1635,5.1038,12,0
1.7317,0.7449,0.0551,0.2055, 0.14,0.3791,0.0209,0.1045,0.0737, 0.4079,0.0079,0.1103,0.0681,0.3431,0.0569,0.0837 ,0.0783,0.1990,0.0240, 0.0120,0.0120,22.3930,20.0455,2.3476,5.2166,9,0
1.6871,0.7648,0.0352,0.0245, 0.02,0.3791,0.0209,0.0148,0.0137, 0.3801,0.0199,0.0165,0.0147,0.3778,0.0222,0.0122 ,0.0122,0.1309,0.0441, 0.0221,0.0221,22.3930,20.2036,2.1894,0.7269,7,0
1.7292,0.6887,0.1113,0.1710, 0.16,0.3443,0.0557,0.0875,0.0763, 0.3386,0.0614,0.0849,0.0730,0.3501,0.0499,0.0897 ,0.0792,0.1800,0.0050, 0.0025,0.0025,22.3930,18.3793,4.0137,4.4645,18,0
1.7244,0.7030,0.0970,0.1434, 0.14,0.3515,0.0485,0.0730,0.0654, 0.3503,0.0497,0.0711,0.0671,0.3527,0.0473,0.0749 ,0.0634,0.2091,0.0241, 0.0120,0.0120,22.3930,18.7675,3.6255,3.7123,20,0
